id,slug,agency_slug,position_title_1,position_title_2,position_title_3,staffer_id,start_date,end_date,agency_id,grade_level,linkedin_url,organization_name,organization_type,position_held,from_date,to_date,organization_slug
1697,janet-dhillon,equal-employment-opportunity-commission,Commissioner,,,1787,2017-01-22,2018-02-17,31,,https://www.linkedin.com/in/janet-dhillon-65797a15/,Federal Judicial Evaluation Committee,Committee that screened and recommended to TX Senators nominees for federal bench and US Attorney offices,Member,2013-04-16,2015-06-16,federal-judicial-evaluation-committee
1707,david-s-jonas,energy,Senior Advisor,General Counsel,,1792,2017-09-03,,69,"$179,700",https://www.linkedin.com/in/davidsjonas/,Marine Executive Association,Non-Profit,General Counsel,2000-01-16,,marine-executive-association
1712,david-s-jonas,energy,Senior Advisor,General Counsel,,1792,2017-09-03,,69,"$179,700",https://www.linkedin.com/in/davidsjonas/,George Washington University Law School,University/Colle ge,Adjunct Professor,2006-01-16,,george-washington-university
1720,spencer-t-bachus-iii,export-import-bank,"Member, Board of Directors",,,1793,,,24,,https://www.linkedin.com/in/spencer-bachus-5ab947106/,Helen Keller Foundation,Non-Profit,Chairman of the Board,2015-06-16,2016-06-16,helen-keller-foundation
1725,linda-capuano,energy,"Administrator, U.S. Energy Information Administration","Administrator, Energy Information Administration",,1795,2017-12-21,,69,,https://www.linkedin.com/in/linda-capuano-6a91231/,Fluor Federal Services,Corporation,Consultant,2014-05-16,2016-07-16,fluor-federal-services
1732,lisa-gordon-hagerty,energy,Under Secretary for Nuclear Security/Administrator for Nuclear Security,,,1796,2018-02-15,,69,,https://www.linkedin.com/in/lisa-gordon-hagerty-b5b279b3/,"Frank Douglas Consulting, LLC",Corporation,Consultant,2016-05-16,2016-06-16,frank-douglas-consulting-llc
1734,lisa-gordon-hagerty,energy,Under Secretary for Nuclear Security/Administrator for Nuclear Security,,,1796,2018-02-15,,69,,https://www.linkedin.com/in/lisa-gordon-hagerty-b5b279b3/,National Academies of Sciences Institute of Medicine,Non-Profit,"Board Member, Board of Health Sciences Policy",2017-04-16,,national-academies-of-sciences
1739,carlos-g-muniz,education,General Counsel,,,1798,,,76,,,McGuireWoods LLP,Law Firm,Partner/Attorne y,2014-01-16,,mcguirewoods-llp
1743,john-g-vonglis,energy,"Chief Financial Officer, Office of the Chief Financial Officer",,,1799,2017-12-21,,69,,https://www.linkedin.com/in/john-g-vonglis-004a769/,MapR Technologies,Corporation,Federal Advisory Board Member,2016-08-16,,mapr-technologies
1747,scott-pruitt,environmental-protection-agency,Administrator,,,1800,2017-02-17,,67,,https://www.linkedin.com/in/e-scott-pruitt-3b771653/,Rule of Law Defense Fund,501(c)(4),Member of the Board of Directors,2016-11-15,2016-12-16,rule-of-law-defense-fund
1753,mark-l-greenblatt,export-import-bank,"Member, Board of Directors",,,1801,,,24,,https://www.linkedin.com/in/mark-l-greenblatt-9650737/,Montgomery County (MD) Ethics Commission,County Ethics Commission (volunteer position appointed by County Executive),Vice Chair and Commissioner,2013-11-15,2015-10-16,montgomery-county-md-ethics-commission
1759,kimberly-a-reed,export-import-bank,Vice President and Vice Chairman,,,1802,,,24,,https://www.linkedin.com/in/reedkimberlyann/,Trump-Pence Presidential Landing Team,Transition Team,"Member, Landing Team for U.S. Department of the Treasury",2016-12-16,2017-01-16,trump-for-america-inc
1767,bradley-bishop,management-and-budget,Confidential Assistant,,,109,2017-06-05,,61,,,The Heritage Foundation,Non-Profit,Senior Media Associate,2016-11-15,2017-06-16,the-heritage-foundation
1771,andrew-galkowski,management-and-budget,Confidential Assistant,,,437,2017-05-01,,61,"$44,941",,South Carolina House of Representatives,State Government,Legislative Aide,2017-01-16,2017-05-16,south-carolina-house-of-representatives
1777,jeffrey-schlagenhauf,management-and-budget,Associate Director for Economic Policy,,,1160,2017-06-12,,61,"$175,000",,Trump Presidential Transition Team,Presidential Transition Team,Economic Policy Advisor,2016-11-15,2017-01-16,trump-for-america-inc
1785,brandon-s-sherman,education,"Special Assistant, Office for Civil Rights",,,1186,2017-06-11,,76,"$131,767",https://www.linkedin.com/in/bshermanlaw/,Elise  Scanlon Law Group,Law Firm,Counsel,2013-05-16,2017-06-16,elise-scanlon-law-group
1786,brandon-s-sherman,education,"Special Assistant, Office for Civil Rights",,,1186,2017-06-11,,76,"$131,767",https://www.linkedin.com/in/bshermanlaw/,Michigan State College of Law Alumni Association,Non-Profit,Board Member,2016-01-16,,michigan-state-college-of-law-alumni-association
1790,chelsea-henderson,education,Confidential Assistant,,,560,2017-06-11,,76,"$44,941",,Funsense Sensory Therapy Gym,Sensory Therapy Gym for Children with Disabilities,Class Assistant,2016-01-16,2016-09-16,funsense-sensory-therapy-gym
1797,brittany-baldwin,white-house-office,Special Assistant to the President and Speechwriter,Speechwriter,,51,2017-11-26,,14,"$70,000",https://www.linkedin.com/in/brittany-baldwin-0a74b536/,In Pursuit of,For-Profit Media Communication s Firm,Deputy Director of Writing,2017-01-16,2017-01-16,in-pursuit-of-llc
1812,ira-a-greenstein,white-house-office,Deputy Assistant to the President and Strategist,,,496,2017-02-01,2018-03-30,14,,,Regal Bank of New Jersey,Corporation,Director,2006-12-16,2017-03-16,regal-bank-of-new-jersey
1817,ira-a-greenstein,white-house-office,Deputy Assistant to the President and Strategist,,,496,2017-02-01,2018-03-30,14,,,America's Voices in Israel,Non-Profit,"Director, President",2014-06-16,2017-03-16,america-s-voices-in-israel
1823,stephen-j-akard,state,"Senior Advisor, Office Of The Under Secretary For Economic Growth, Energy, And The Environment","Special Advisor to Transition, Office Of The Secretary",,17,2017-06-11,,4,"$161,900",,Indiana Economic Development Foundation,Non-Profit Organiza tion,Officer,2014-11-15,2017-01-16,indiana-economic-development-foundation
1829,andrew-surabian,white-house-office,Special Assistant to the President and Deputy Strategist,,,1271,2017-01-20,2017-09-05,14,,,Tea Party Express PAC,Non-Profit,Political Director/Consul tant,2012-12-16,2015-12-16,tea-party-express-pac
1832,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,40 WALL STREET COMMERCIAL LLC (payroll company),Limited Liability Company,Vice President,2009-08-16,2017-01-16,40-wall-street-commercial-llc-payroll-company
1833,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,"401 MEZZ VENTURE LLC (residential & commercial real estate in Chicago, IL)",Limited Liability Company,Vice President,2012-01-16,2017-01-16,401-mezz-venture-llc-residential-commercial-real-estate-in-chicago-il
1836,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,"809 NORTH CANON MEMBER CORPORATION (pass-thru company for 809 North Canon LLC (residential real estate in Los Angeles, CA))",Corporation,Vice President,2006-12-16,2017-01-16,809-north-canon-member-corporation-pass-thru-company-for-809-north-canon-llc-residential-real-estate-in-los-angeles-ca
1842,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DJT HOLDINGS MANAGING MEMBER LLC (pass-thru company for DJT HOLDINGS LLC (holding company)),Limited Liability Company,Executive Vice President,2010-12-16,2017-01-16,djt-holdings-managing-member-llc-pass-thru-company-for-djt-holdings-llc-holding-company
1848,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT BALI HOTEL MANAGER MEMBER CORP (pass-thru company for DT BALI HOTEL MANAGER LLC),Corporation,Executive Vice President,2015-06-16,2017-01-16,dt-bali-hotel-manager-member-corp-pass-thru-company-for-dt-bali-hotel-manager-llc
1852,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT DUBAI GOLF MANAGER MEMBER CORP (pass-thru company for DT DUBAI GOLF MANAGER LLC (management company)),Corporation,Executive Vice President,2013-03-16,2017-01-16,dt-dubai-golf-manager-member-corp-pass-thru-company-for-dt-dubai-golf-manager-llc-management-company
1859,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT LIDO HOTEL MANAGER MEMBER CORP (pass-thru company for DT LIDO HOTEL MANAGER LLC (license deal)),Corporation,Executive Vice President,2015-06-16,2017-01-16,dt-lido-hotel-manager-member-corp-pass-thru-company-for-dt-lido-hotel-manager-llc-license-deal
1863,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS BAKU MANAGING MEMBER CORP (pass-thru company for DT MARKS BAKU LLC (dormant/inactive)),Corporation,Executive Vice President,2012-04-16,2017-01-16,dt-marks-baku-managing-member-corp-pass-thru-company-for-dt-marks-baku-llc-dormant-inactive
1867,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS DUBAI MEMBER CORP (pass-thru company for DT MARKS DUBAI LLC (license deal)),Corporation,Vice President,2013-09-16,2017-01-16,dt-marks-dubai-member-corp-pass-thru-company-for-dt-marks-dubai-llc-license-deal
1870,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS JERSEY CITY LLC (license deal),Limited Liability Company,Executive Vice President,2014-10-16,2017-01-16,dt-marks-jersey-city-llc-license-deal
1872,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS LIDO MEMBER CORP (pass-thru company for DT MARKS LIDO LLC (license deal)),Corporation,Executive Vice President,2015-06-16,2017-01-16,dt-marks-lido-member-corp-pass-thru-company-for-dt-marks-lido-llc-license-deal
1877,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS QATAR MEMBER CORP (pass-thru company for DT MARKS QATAR LLC (dormant/inactive)),Corporation,Executive Vice President,2014-10-16,2017-01-16,dt-marks-qatar-member-corp-pass-thru-company-for-dt-marks-qatar-llc-dormant-inactive
1879,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS RIO MEMBER CORP (pass-thru company for DT MARKS RIO LLC (dormant/inactive)),Corporation,Executive Vice President,2012-03-16,2017-01-16,dt-marks-rio-member-corp-pass-thru-company-for-dt-marks-rio-llc-dormant-inactive
1881,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS VANCOUVER MEMBER CORP (pass-thru company for DT MARKS VANCOUVER LP (license holder)),Corporation,Executive Vice President,2013-01-16,2017-01-16,dt-marks-vancouver-member-corp-pass-thru-company-for-dt-marks-vancouver-lp-license-holder
1882,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS WORLI LLC (license deal),Limited Liability Company,Executive Vice President,2013-05-16,2017-01-16,dt-marks-worli-llc-license-deal
1883,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT MARKS WORLI MEMBER CORP (pass-thru company for DT MARKS WORLI LLC (license deal)),Corporation,Executive Vice President,2013-05-16,2017-01-16,dt-marks-worli-member-corp-pass-thru-company-for-dt-marks-worli-llc-license-deal
1884,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT TOWER GURGAON LLC,Limited Liability Company,Executive Vice President,2015-03-16,2017-01-16,dt-tower-gurgaon-llc
1885,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT TOWER GURGAON MANAGING MEMBER CORP (license holder),Corporation,Executive Vice President,2015-03-16,2017-01-16,dt-tower-gurgaon-managing-member-corp-license-holder
1886,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT TOWER KOLKATA LLC (license holder),Limited Liability Company,Executive Vice President,2015-11-15,2017-01-16,dt-tower-kolkata-llc-license-holder
1887,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DT TOWER KOLKATA MANAGING MEMBER CORP (pass-thru company for DT TOWER KOLKATA LLC (license holder)),Corporation,Executive Vice President,2015-11-15,2017-01-16,dt-tower-kolkata-managing-member-corp-pass-thru-company-for-dt-tower-kolkata-llc-license-holder
1888,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DTTM OPERATIONS LLC (pass-thru entity),Limited Liability Company,Executive Vice President,2016-01-16,2017-01-16,dttm-operations-llc-pass-thru-entity
1889,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,DTTM OPERATIONS MANAGING MEMBER CORP (pass-thru company for DTTM OPERATIONS LLC (pass-thru entity)),Corporation,Executive Vice President,2016-01-16,2017-01-16,dttm-operations-managing-member-corp-pass-thru-company-for-dttm-operations-llc-pass-thru-entity
1890,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,GOLF PRODUCTIONS LLC (golf video production company),Limited Liability Company,Vice President,2009-06-16,2017-01-16,golf-productions-llc-golf-video-production-company
1891,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,GOLF PRODUCTIONS MEMBER CORP (pass- thru company for GOLF PRODUCTIONS LLC (golf video production company)),Corporation,Vice President,2009-06-16,2017-01-16,golf-productions-member-corp-pass-thru-company-for-golf-productions-llc-golf-video-production-company
1892,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IVANKA OPO HOTEL MANAGER LLC (management of DC hotel),Limited Liability Company,"President, Secretary, Member & Treasurer",2013-06-16,2017-01-16,ivanka-opo-hotel-manager-llc-management-of-dc-hotel
1893,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IVANKA OPO LLC,Limited Liability Company,"Member, President, Treasurer",2013-06-16,2017-01-16,ivanka-opo-llc
1894,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,JUPITER GOLF CLUB LLC (golf club),Limited Liability Company,Executive Vice President,2012-09-16,2017-01-16,jupiter-golf-club-llc-golf-club
1895,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,JUPITER GOLF CLUB MANAGING MEMBER CORP (pass-thru company for JUPITER GOLF CLUB LLC (golf club)),Corporation,Executive Vice President,2012-09-16,2017-01-16,jupiter-golf-club-managing-member-corp-pass-thru-company-for-jupiter-golf-club-llc-golf-club
1896,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,LFB ACQUISITION MEMBER CORP (pass-thru company),Corporation,Executive Vice President,2011-11-15,2017-01-16,lfb-acquisition-member-corp-pass-thru-company
1897,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,"MAR-A-LAGO CLUB, L.L.C. (a/k/a The Mar-A- Lago Club L.C.) (resort)",Limited Liability Company,Vice President,2010-01-16,2017-01-16,mar-a-lago-club-l-l-c-a-k-a-the-mar-a-lago-club-l-c-resort
1898,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,"NITTO WORLD CO., LIMITED (dormant/inactive)",Foreign Entity,Director,2014-06-16,2017-01-16,nitto-world-co-limited-dormant-inactive
1899,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,OPO HOTEL MANAGER LLC (management of DC hotel),Limited Liability Company,Executive Vice President,2013-06-16,2017-01-16,opo-hotel-manager-llc-management-of-dc-hotel
1900,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,OPO HOTEL MANAGER MEMBER CORP (pass-thru company for OPO HOTEL MANAGER LLC),Corporation,Executive Vice President,2013-06-16,2017-01-16,opo-hotel-manager-member-corp-pass-thru-company-for-opo-hotel-manager-llc
1901,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,OWO DEVELOPER LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2014-11-15,2017-01-16,owo-developer-llc-dormant-inactive
1902,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,PANAMA OCEAN CLUB MANAGEMENT LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2010-08-16,2017-01-16,panama-ocean-club-management-llc-dormant-inactive
1903,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,PANAMA OCEAN CLUB MANAGEMENT MEMBER CORP (pass-thru company for PANAMA OCEAN CLUB MANAGEMENT LLC (dormant/inactive)),Corporation,Executive Vice President,2010-08-16,2017-01-16,panama-ocean-club-management-member-corp-pass-thru-company-for-panama-ocean-club-management-llc-dormant-inactive
1904,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,PINE HILL DEVELOPMENT LLC (golf club),Limited Liability Company,Executive Vice President,2014-04-16,2017-01-16,pine-hill-development-llc-golf-club
1906,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,POKER VENTURE LLC (dormant/inactive),Limited Liability Company,"Executive Vice President, Secretary & Treasurer",2012-03-16,2017-01-16,poker-venture-llc-dormant-inactive
1907,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,POKER VENTURE MANAGING MEMBER CORP (pass-thru company for POKER VENTURE LLC (dormant/inactive)),Corporation,"Executive Vice President, Secretary & Treasurer",2012-03-16,2017-01-16,poker-venture-managing-member-corp-pass-thru-company-for-poker-venture-llc-dormant-inactive
1908,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,"SEVEN SPRINGS LLC (real estate in Mt. Kisco, NY)",Limited Liability Company,Executive Vice President,2010-06-16,2017-01-16,seven-springs-llc-real-estate-in-mt-kisco-ny
1909,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,SLC TURNBERRY LIMITED (golf courses & resort),Foreign Entity,Director,2014-06-16,2017-01-16,slc-turnberry-limited-golf-courses-resort
1910,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,T INTERNATIONAL REALTY LLC,Limited Liability Company,Executive Vice President & Secretary,2012-09-16,2017-01-16,t-international-realty-llc
1911,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TC MARKS BUENOS AIRES LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2016-04-16,2017-01-16,tc-marks-buenos-aires-llc-dormant-inactive
1917,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC CENTRAL RESERVATIONS MEMBER CORP (pass-thru company for THC CENTRAL RESERVATIONS LLC (hotel company)),Corporation,Vice President,2013-09-16,2017-01-16,thc-central-reservations-member-corp-pass-thru-company-for-thc-central-reservations-llc-hotel-company
1918,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC CHINA DEVELOPMENT LLC (developer),Limited Liability Company,Executive Vice President,2012-09-16,2017-01-16,thc-china-development-llc-developer
1919,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC CHINA TECHNICAL SERVICES LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2014-05-16,2017-01-16,thc-china-technical-services-llc-dormant-inactive
1920,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC CHINA TECHNICAL SERVICES MANAGER CORP (pass-thru company for THC CHINA TECHNICAL SERVICES LLC (dormant/inactive)),Corporation,Executive Vice President,2014-05-16,2017-01-16,thc-china-technical-services-manager-corp-pass-thru-company-for-thc-china-technical-services-llc-dormant-inactive
1921,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC DC RESTAURANT HOSPITALITY LLC,Limited Liability Company,Executive Vice President,2015-08-16,2017-01-16,thc-dc-restaurant-hospitality-llc
1922,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC DEVELOPMENT BRAZIL LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2013-05-16,2017-01-16,thc-development-brazil-llc-dormant-inactive
1923,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC DEVELOPMENT BRAZIL MANAGING MEMBER CORP (pass-thru company for THC DEVELOPMENT BRAZIL LLC (dormant/inactive)),Corporation,Executive Vice President,2013-05-16,2017-01-16,thc-development-brazil-managing-member-corp-pass-thru-company-for-thc-development-brazil-llc-dormant-inactive
2326,thomas-patrick-mccaffery,defense,Principal Deputy Assistant Secretary of Defense (Health Affairs),,,1958,2017-08-23,,5,"$179,700",,Blue Shield of California,Business Enterprise,Officer,2007-05-16,2016-05-16,blue-shield-of-california
1924,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC HOTEL DEVELOPMENT LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2012-10-16,2017-01-16,thc-hotel-development-llc-dormant-inactive
1925,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC MIAMI RESTAURANT HOSPITALITY LLC (restaurant operations),Limited Liability Company,Executive Vice President,2013-02-15,2017-01-16,thc-miami-restaurant-hospitality-llc-restaurant-operations
1926,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC MIAMI RESTAURANT HOSPITALITY MEMBER CORP (pass-thru company for THC MIAMI RESTAURANT HOSPITALITY LLC (restaurant operations)),Corporation,Executive Vice President,2013-02-15,2017-01-16,thc-miami-restaurant-hospitality-member-corp-pass-thru-company-for-thc-miami-restaurant-hospitality-llc-restaurant-operations
1927,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC QATAR HOTEL MANAGER LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2014-10-16,2017-01-16,thc-qatar-hotel-manager-llc-dormant-inactive
1928,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC QATAR HOTEL MANAGER MEMBER CORP (pass-thru company for THC QATAR HOTEL MANAGER LLC (dormant/inactive)),Corporation,Executive Vice President,2014-10-16,2017-01-16,thc-qatar-hotel-manager-member-corp-pass-thru-company-for-thc-qatar-hotel-manager-llc-dormant-inactive
1929,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC RIO MANAGER LLC (dormant/inactive),Limited Liability Company,Executive Vice President,2013-04-16,2017-01-16,thc-rio-manager-llc-dormant-inactive
1930,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THC RIO MANAGING MEMBER CORP (pass- thru company for THC RIO MANAGER LLC (dormant/inactive)),Corporation,Executive Vice President,2013-04-16,2017-01-16,thc-rio-managing-member-corp-pass-thru-company-for-thc-rio-manager-llc-dormant-inactive
1943,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,THE TRUMP MARKS REAL ESTATE CORP (pass-thru company for TRUMP MARKS REAL ESTATE LLC (license holder)),Corporation,Vice President,2007-02-15,2017-01-16,the-trump-marks-real-estate-corp-pass-thru-company-for-trump-marks-real-estate-llc-license-holder
1945,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TIGL IRELAND ENTERPRISES LIMITED (golf course & resort),Foreign Entity,Director,2014-02-15,2017-01-16,tigl-ireland-enterprises-limited-golf-course-resort
2079,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TW VENTURE II MANAGING MEMBER CORP (pass-thru company for TW VENTURE II LLC (pass-thru company for TIGL Ireland Enterprises Limited (golf course and resort))),Corporation,Executive Vice President & Director,2014-01-16,2017-01-16,tw-venture-ii-managing-member-corp-pass-thru-company-for-tw-venture-ii-llc-pass-thru-company-for-tigl-ireland-enterprises-limited-golf-course-and-resort
2087,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IT APPAREL II MANAGING MEMBER CORP,Corporation,"Director, Chairman, President, Secretary & Treasurer",2012-11-15,2017-01-16,it-apparel-ii-managing-member-corp
2091,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IT BABY HOME MEMBER CORP,Corporation,"Director, President, Chairman & Treasurer",2016-07-16,2017-01-16,it-baby-home-member-corp
2097,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IT FRAGRANCE MANAGER CORP,Corporation,"Director, President, Chairman, & Treasurer",2012-01-16,2017-01-16,it-fragrance-manager-corp
2103,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IT INTERNATIONAL I MEMBER CORP (pass- thru company for IT INTERNATIONAL LLC (dormant/inactive)),Limited Liability Company,"Director, President, Chairman, Treasurer, Secretary",2016-08-16,2017-01-16,it-international-i-member-corp-pass-thru-company-for-it-international-llc-dormant-inactive
2110,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IVANKA TRUMP MARKS II MEMBER CORP,Corporation,"Director, Chairman, President, Treasurer, & Secretary",2009-05-16,2017-01-16,ivanka-trump-marks-ii-member-corp
2117,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,IT INVESTORS I LLC (held investments),Limited Liability Company,"President, Treasurer, Secretary",2014-05-16,2017-01-16,it-investors-i-llc-held-investments
2127,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,Trump Park Avenue Condominium (Condominium Association),Unincorporated Business Association,Board Member,2005-12-16,2017-09-16,trump-park-avenue-condominium-condominium-association
2132,katharine-katie-cornell-gorka,homeland-security,Advisor,,,475,2017-01-25,,66,"$131,767",,Council on Global Security,Non-Profit,President,2014-05-16,2017-01-16,council-on-global-security
2134,lincoln-ross-ferguson,environmental-protection-agency,Speechwriter,,,399,2017-03-13,,67,AD-00,https://www.linkedin.com/in/lincoln-ferguson-32305b69/,Oklahoma Office of Attorney General,Government,Press Secretary,2016-07-16,2017-03-16,office-of-the-oklahoma-attorney-general
2140,sarah-a-greenwalt,environmental-protection-agency,Senior Advisor to the Administrator,,,497,2017-03-08,,67,"$107,435",,Office of the Oklahoma Attorney General,State Government,Deputy General Counsel to the Attorney General,2016-08-16,2016-10-16,office-of-the-oklahoma-attorney-general
2147,whitney-nichols-andersen,white-house-office,Deputy Director of Operations for the White House Management Office,,,1805,2017-08-06,,14,"$94,000",https://www.linkedin.com/in/whitneynichols/,Committee on Arrangements for the 2016 Republican National Committee,Non-Profit,Deputy Director of Operations,2015-11-15,2016-08-16,committee-on-arrangements-for-the-2016-republican-national-committee
2155,julie-t-radford,white-house-office,Deputy Assistant to the President and Chief of Staff to the Advisor,Special Assistant to the President and Chief of Staff for Economic Initiatives,,1813,2017-02-14,,14,"$140,000",,IberiaBank,Corporation,Communication s,2014-10-16,2017-02-15,iberiabank-38e737bd-44d2-4bd5-bb22-a76a2e114523
2161,uyen-dinh,homeland-security,"Deputy Assistant Secretary (House), Office of Legislative Affairs",,,345,2017-07-10,,66,"$150,000",https://www.linkedin.com/in/uyen-dinh-9565a213/,"Vietnamese Americans Celebrating Freedom, Inc",Non-Profit,Board Member,2016-01-16,,vietnamese-americans-celebrating-freedom-inc
2165,thomas-b-alexander,health-and-human-services,Special Assistant,Principal Deputy Director of Global Affairs,,22,2017-03-19,,38,"$131,767",https://www.linkedin.com/in/thomas-alexander-ba79a17/,Partnership for Public Service Presidential Transition Team,Non-Profit,Deputy Sherpa,2016-12-16,2017-02-15,partnership-for-public-service-presidential-transition-team
2174,kathy-nuebel-kovarik,homeland-security,Advisor,"Chief, Office of Policy and Strategy",,710,2017-01-26,,66,"$161,900",,MetLife Inc.,Corporation,Assistant Vice President,2014-06-16,2017-07-16,metlife-inc
2180,gregory-martin-walters,u-s-trade-representative,Assistant U.S. Trade Representative For Intergovernmental Affairs and Public Engagement,,,1819,,,17,"$179,700",,3M,Corporation,International Trade Manager,2011-09-16,2017-10-16,3m
2188,anthony-m-paranzino,small-business-administration,"Special Advisor to the Chief of Staff, Office of the Administrator",,,1006,2017-01-20,,32,"$66,510",,American Enterprise Institute,Non-profit Think Tank,Program Manager,2014-06-30,2016-07-06,american-enterprise-institute
2192,melanie-deon-palmas,small-business-administration,Management Support Specialist,,,1827,2017-12-11,,32,"$66,510",,Chester County MH/IDD,County  Government,Bilingual Supports Coordinator,2013-03-01,2015-05-01,chester-county-mh-idd
